"Date","Open","High","Low","Close","Volume"
"10/21/2019","48.24","51.3451","47.7575","51.135","155,223,528"
"10/14/2019","46.41","49.8225","46.0962","47.6225","188,301,532"
"10/07/2019","46.145","47.335","44.125","46.4975","202,392,204"
"09/30/2019","43.2","45.7875","42.5325","45.4925","158,711,784"
"09/23/2019","43.175","44.755","42.33","42.94","149,395,944"
"09/16/2019","44.73","45.4","43.07","43.1725","133,793,720"
"09/09/2019","44.975","47.1","44.6975","45.485","178,428,116"
"09/02/2019","41.145","45.2725","40.813","44.6625","159,809,312"
"08/26/2019","41.4025","42.715","39.75","41.8775","151,525,336"
"08/19/2019","41.03","43.3625","40.41","40.61","258,100,872"
"08/12/2019","38.02","40.385","36.8485","39.89","262,944,132"
"08/05/2019","38.45","39.5775","37.225","38.545","197,410,568"
"07/29/2019","43.695","43.985","39.82","40.2975","165,490,964"
"07/22/2019","42.325","44.7225","42.25","43.7675","177,721,180"
"07/15/2019","42.115","43.1775","41.2106","42.11","176,756,252"
"07/08/2019","39.4575","42.6175","38.75","41.9025","231,367,444"
"07/01/2019","43.1425","43.4875","39.42","40.0575","175,494,892"
"06/24/2019","38.155","41.3425","37.68","41.0575","202,199,632"
"06/17/2019","36.1425","39.3325","35.9125","37.94","197,419,752"
"06/10/2019","36.94","38.09","35.709","36.16","184,805,008"
"06/03/2019","33.9775","36.72","33.15","36.375","238,909,032"
"05/27/2019","36.465","36.795","33.8475","33.865","177,217,488"
"05/20/2019","38.1375","38.925","36.22","36.2875","220,921,436"
"05/13/2019","40.875","41.1075","38.735","39.1325","348,726,760"
"05/06/2019","43.875","45.085","41","42.205","262,630,680"
"04/29/2019","44.6025","46.2175","43.875","45.7525","183,842,248"
"04/22/2019","46.3375","48.2025","43.325","44.5225","227,942,468"
"04/15/2019","47.425","47.615","45.775","46.575","150,082,980"
"04/08/2019","47.43","48.3675","46.89","47.5025","214,523,580"
"04/01/2019","45.815","47.9125","45.0936","47.7375","263,646,680"
"03/25/2019","43.965","45.4375","42.7775","44.89","260,349,400"
